-542534515|determine|-408544589|-1114531446|186489565|-4013047|morning|claim|word|involve|
1279092835|understand|343735178|1220436658|1681670254|-640860450|play|take|indicate|star|
1325961304|yourself|-498005459|-1488515087|1505107210|233964513|over|response|edge|job|
1705279759|happen|1455934515|-917173604|1122516302|-1452393092|local|school|issue|describe|
-895937135|recently|-83880252|1607581313|2086884062|661455607|really|describe|step|fear|
670836053|push|-869901519|774081362|-609657335|-1937241964|of|case|under|establish|
-295584251|anything|-2137126454|-801170704|1688062874|-1901068944|green|fine|choice|result|
351266302|people|-1055523472|-1276397203|553008815|-989899083|person|sit|with|enough|
145498389|politics|-979037588|-1862943358|666513574|-1741656624|cause|recent|minute|early|
1470759621|central|-1569020438|489276170|387883659|-1274535146|speak|get|floor|nature|
-1713868238|thing|547691733|542422730|-1638111558|-1111656167|idea|general|former|bed|
-481308688|same|1112192347|-1000593551|-1850304635|965477037|main|feel|look|capital|
-1648099973|involve|824534251|872198826|-1830525283|2028033240|even|three|answer|mention|
122808895|third|710378917|-580218910|1756081489|914712977|simply|event|baby|together|
-1400948635|capital|1472413482|-1774217842|-1301709243|-221065915|quality|live|enter|push|
-687256517|recognize|-799291823|-1195090706|-1006845292|924598467|attack|couple|management|three|
-2008491639|could|-640369865|1755233536|-1589138060|-2108908764|toward|Republican|model|of|
-460116592|for|1396604680|389830700|1058634670|592922556|will|whom|wind|father|
1178602319|cover|728597988|-1249470060|1590400201|929516462|who|seek|respond|arrive|
1489061663|be|1822492284|-1693939529|-157351745|601057845|experience|along|arrive|past|
1654145519|social|-46489066|78163447|-443881831|-774382836|later|reality|back|again|
667959860|red|-272574299|-1607948775|1225460163|-1294555189|research|my|southern|side|
1810205249|create|-299512727|968772879|407777086|1110571421|economic|spend|none|hundred|
1452875735|safe|1882669444|-401491464|1306601878|1454838906|article|line|military|story|
-230289939|either|-623319835|242582484|-1610890433|-1291707009|western|trouble|hospital|back|
-728503051|stop|-841111687|1076060275|1861484579|-1075015149|mean|eye|thought|many|
-1932950906|speech|-2108860087|148363328|2106884694|669785233|firm|likely|too|begin|
